,Country,Country_Code,1996_agb_tot,1996_agb_avg,1996_count,1996_area,2007_agb_tot,2007_agb_avg,2007_count,2007_area,2008_agb_tot,2008_agb_avg,2008_count,2008_area,2009_agb_tot,2009_agb_avg,2009_count,2009_area,2010_agb_tot,2010_agb_avg,2010_count,2010_area,2015_agb_tot,2015_agb_avg,2015_count,2015_area,2016_agb_tot,2016_agb_avg,2016_count,2016_area,2017_agb_tot,2017_agb_avg,2017_count,2017_area,2018_agb_tot,2018_agb_avg,2018_count,2018_area,2019_agb_tot,2019_agb_avg,2019_count,2019_area,2020_agb_tot,2020_agb_avg,2020_count,2020_area
0,Angola,AGO,3765229.0988611304,128.27360819472239,311518,29344.77296240681,3759280.945070426,130.07624421588253,306713,28893.383951592863,3753696.974752313,130.73532015889703,304713,28705.306449447242,3754510.6871964606,130.57616280611052,305153,28745.86604995883,3751345.3029679745,130.59363291391963,304856,28717.56063438526,7484254.263273161,130.58867506344515,608234,57296.58522099744,3724651.8957522577,131.38510774084355,300858,28342.821579499403,3730111.132929095,131.54345294638324,300932,28350.86431948831,3717746.7941171043,132.34531653542052,298113,28086.558516083773,3718042.8316299315,131.83073069875238,299299,28197.968834984506,3710736.6471215202,132.0984725994537,298105,28085.982085140182
1,Anguilla,AIA,20.641409486849987,5.076735602484809,45,4.065714189110849,10.644980793628061,3.9272467374801634,30,2.7104406801237464,7.904305663082789,3.2401846514807806,27,2.439393423384891,13.627142920699894,5.200810736623303,29,2.6200671978785968,20.141758378242866,5.437156962185371,41,3.704307221107984,68.71716075067557,6.7904853735651285,112,10.119268226261573,29.76402495581982,6.215414159702805,53,4.788569997950722,20.93302704619094,4.542735109142229,51,4.607861102794802,15.091204272292348,4.175639736652374,40,3.613990350694635,14.868609738861792,4.701768016815185,35,3.162185026587679,15.306186067131984,4.705686688423157,36,3.2525408077243925
2,United Arab Emirates,ARE,59240.82066761285,7.808334147894235,87638,7579.149412426215,64478.32817644166,8.021528556061641,92826,8030.939118165457,68771.54511264725,8.000971657360548,99245,8588.16053338758,64981.328269406695,7.774840603637717,96516,8350.947354547125,60525.64807493541,7.850216110150216,89044,7703.440052879433,112780.33318971802,7.8688639164066,165556,14319.312770526636,55213.18522369819,7.811152534194852,81651,7061.928516775751,55644.98807148432,7.688938647148561,83598,7230.466482586343,56127.91525026132,7.625808587811655,85024,7353.565470714707,56868.85518631643,7.68362026339722,85499,7394.4305443944895,57078.37054690435,7.731556041027506,85275,7375.647824303164
3,Bahrain,BHR,622.6989663300477,9.714158865769704,750,64.11462558798345,646.8288708071474,7.426509108346859,1019,87.09796532640671,650.3065645895142,7.083951195414062,1074,91.80578574297188,652.6944739755475,6.986414693411838,1093,93.43317760182966,630.9456145998944,7.411518689379634,996,85.13893885865245,1203.7789491528779,10.031488936850828,1404,120.0035259020625,601.5746635773695,10.365873539395114,679,58.033000818503446,601.5746635773695,10.305165641653415,683,58.37664206568903,602.5236899367017,10.042013770834334,702,60.00513627447964,602.5236899367015,10.187129576771245,692,59.148477937471355,624.1641067297987,10.522622977965847,694,59.314906566017235
4,Bahamas,BHS,1958005.3878620698,11.552526466655811,1958528,169014.38639465664,1832593.091873973,11.526772698403908,1837656,158500.80598350443,1755860.8290419902,11.599975615399213,1749588,150906.53957563566,1753587.8626397941,11.602877093525157,1746877,150680.90928733963,1715586.885924286,11.7225103399731,1691446,145920.29878634782,3401627.9152360647,11.846863153911672,3318820,286253.03715898603,1710169.2511925497,11.900106304053208,1661084,143271.2151163429,1715868.66424448,11.85694146848483,1672821,144251.44670264094,1719506.3341865472,11.84032437893469,1678672,144763.7990029721,1745660.526287501,11.86011343353169,1701380,146720.30172208956,1788835.2839064049,11.90775134456338,1736428,149762.72010240998
5,Eritrea,ERI,463477.5550688215,49.62818372734403,101628,9345.316123263885,420717.0132805768,53.2513127056736,85974,7906.7464678909255,399293.33896694775,54.704308748065145,79432,7304.8809785149915,403348.59363386664,54.71740017491145,80222,7377.294851051929,402182.9169301689,54.66394322045991,80069,7362.836030949815,810377.9666225226,54.63527533986017,161410,14843.506516765072,402398.4049872916,54.4752011906814,80383,7392.080946782249,405254.3988319468,53.96368542895618,81720,7514.916814799621,406299.177022609,53.897731149075426,82032,7543.316002966305,403622.37015520904,54.381863698784706,80764,7427.285954942743,399512.22868106986,54.42860612053221,79872,7345.539622738327
6,Fiji,FJI,5649848.632639773,116.38350199793602,534717,48558.548722657,5652731.552824857,116.57306386993808,534119,48504.10406774191,5661413.546553777,116.47301575980414,535395,48620.337947494154,5671777.156929366,116.33328050757409,537015,48768.18474512133,5670431.125343128,116.25099199842491,537266,48791.193797344815,11367924.561036926,115.95674735701205,1079822,98063.85711786746,5662336.02245959,116.06026465691936,537384,48801.52460103405,5665852.377776578,116.05860586017302,537738,48832.31958486106,5661526.635464845,116.20486545330127,536657,48733.588612514795,5674695.69346781,116.05890366014572,538573,48908.720831479965,5661617.576949155,115.98456965759368,537672,48827.51679869227
7,Belize,BLZ,956347.8546246313,17.40295477439722,605182,54901.247403101996,943334.968190548,17.668953568264612,587975,53340.2046692973,934488.2688059531,17.793070657743545,578406,52472.040741016084,931671.7668120656,17.872464925064335,574098,52081.90036906932,928297.4768045454,17.940173497440718,569858,51697.54164103566,1847986.9192203165,17.9738900375442,1132300,102722.5115212624,920488.9515231098,17.973570177298047,564014,51167.15302173725,922165.3995548,17.916881092122587,566832,51422.35578473997,934217.8763907258,17.89888903594034,574805,52146.80354040324,940679.9950209167,17.912120957763786,578336,52468.838732907876,938641.9109128477,17.94561270217196,576005,52257.448160547494
8,Brunei,BRN,2768321.580180771,241.70886476588726,121008,11453.130821629113,2774815.422817626,241.87411636889956,121209,11472.154204292072,2771827.2852062574,242.0169511315066,121007,11453.037207790225,2779753.848604544,241.86556135869577,121429,11492.978827069684,2776451.1078513144,241.90290334874962,121266,11477.552004105495,5535546.877622747,242.26565282485808,241412,22849.09389914457,2760205.5099924947,242.39847670602597,120310,11387.065464617755,2760880.8365438916,242.31880910971,120379,11393.595772704744,2770048.4822410615,241.9736675692299,120951,11447.73410126453,2783011.1973115797,241.4550470513716,121778,11526.008341677245,2775285.499466322,241.48870434146892,121423,11492.409354862135
9,New Zealand,NZL,2953869.8535385984,101.75138294203012,376558,29038.897233272866,3077206.783210802,102.51943976913992,389355,30026.257468925363,3075909.8335333895,102.49416268561167,389305,30020.31592182847,3090424.4495633924,102.364020565511,391674,30199.60281954147,3086390.8505484406,102.17746900361657,391897,30214.54902499843,6157916.595915021,101.89059533732329,784062,60454.20522489575,3058432.271387771,101.4260061249181,391173,30164.608093294177,3052584.524419295,101.1772094050706,391383,30181.589805182506,3054554.0119409654,101.00537580541501,392273,30252.82681054965,3033265.5161085594,100.7688144642718,390469,30111.639131926728,2983758.0031497655,100.48577939027197,385209,29701.40523486544
