,Country,Country_Code,0-50,50-100,100-150,150-250,250-1500
0,Angola,AGO,0.3710583664160824,0.23245206520821016,0.11481375116141566,0.10162006926260664,0.1800557479516851
1,Anguilla,AIA,1.0,0.0,0.0,0.0,0.0
2,United Arab Emirates,ARE,1.0,0.0,0.0,0.0,0.0
3,Bahrain,BHR,0.8830769230769231,0.11692307692307692,0.0,0.0,0.0
4,Bahamas,BHS,1.0,0.0,0.0,0.0,0.0
5,Eritrea,ERI,0.5826696652996428,0.2639105701812409,0.07401772721259425,0.07940203730652202,0.0
6,Fiji,FJI,0.0,0.4441556641369512,0.35335928505696673,0.2024850508060821,0.0
7,Belize,BLZ,0.8916985441050528,0.10830145589494719,0.0,0.0,0.0
8,Brunei,BRN,0.0,0.0026371001849287237,0.04541948966306484,0.5213663164354366,0.43057709371656977
9,New Zealand,NZL,0.0,0.6176369458233941,0.3267385511357531,0.05562450304085273,0.0
10,Oman,OMN,0.7962085308056872,0.1052132701421801,0.03033175355450237,0.06824644549763033,0.0
11,Pakistan,PAK,1.0,0.0,0.0,0.0,0.0
12,China,CHN,0.0,0.9513535312799314,0.04864646872006856,0.0,0.0
13,Côte d'Ivoire,CIV,0.35354993531937234,0.2803014679690283,0.19597292787641313,0.11488779317197548,0.055287875663210785
14,Cameroon,CMR,0.1198631632078947,0.20551369471601805,0.18082165843484335,0.179067051303496,0.3147344323377479
15,Democratic Republic of the Congo,COD,0.4909594118435972,0.20833384134570446,0.1318515628492585,0.08900783151871314,0.07984735244272669
16,Republic of Congo,COG,0.03288201160541586,0.14421852148888994,0.18828136056989198,0.23993961409633438,0.3946784922394678
17,Senegal,SEN,0.8652265992769897,0.13477340072301028,0.0,0.0,0.0
18,Singapore,SGP,0.26151012891344383,0.2361878453038674,0.1958256599140577,0.17694904849600981,0.12952731737262124
19,Solomon Islands,SLB,0.0,0.11914719284000876,0.2757479024621739,0.3657835318718231,0.23932137282599428
20,Haiti,HTI,1.0,0.0,0.0,0.0,0.0
21,Indonesia,IDN,0.0,0.12239170806898615,0.21382850229682185,0.3354722282948861,0.3283075613393059
22,India,IND,0.6302627719176604,0.20061626184582787,0.04421739351785632,0.05349501923696989,0.07140855348168548
