,Country,Country_Code,1996_hchm_avg,1996_count,2007_hchm_avg,2007_count,2008_hchm_avg,2008_count,2009_hchm_avg,2009_count,2010_hchm_avg,2010_count,2015_hchm_avg,2015_count,2016_hchm_avg,2016_count,2017_hchm_avg,2017_count,2018_hchm_avg,2018_count,2019_hchm_avg,2019_count,2020_hchm_avg,2020_count
0,Angola,AGO,11.421642143271015,311518,11.5272223646373,306713,11.563885935289928,304713,11.554804603141703,305153,11.555550817435117,304856,11.551843225633556,608234,11.590511216047105,300858,11.598884309827469,300932,11.636531832098902,298113,11.606188857129492,299299,11.61740006667114,298105
1,Anguilla,AIA,3.5663211398654515,45,3.1646278381347654,30,3.005687289767795,27,3.3594960179822198,29,3.4639434814453125,41,4.057135990687779,112,3.910939630472435,53,3.4444891237745097,51,3.34777946472168,40,3.3636967250279017,35,3.390936109754774,36
2,United Arab Emirates,ARE,2.7495202766161992,87638,2.8230357711430685,92826,2.807426576711914,99245,2.7542929554495457,96516,2.765426445230095,89044,2.7621660746835444,165556,2.744882545728616,81651,2.715786952105871,83598,2.699193192483969,85024,2.707699508920416,85499,2.711785638720295,85275
3,Bahrain,BHR,2.386093381245931,750,1.859309390201887,1019,1.801545830412284,1074,1.7831787639872698,1093,1.8659987928398163,996,2.4839897889357347,1404,2.5601216724940707,679,2.545128459288121,683,2.4901782508589263,702,2.526163662100114,692,2.5690747777735465,694
4,Bahamas,BHS,5.30092973783773,1958528,5.289525438950435,1837656,5.312591959650744,1749588,5.314733128116064,1746877,5.350237655128375,1691446,5.3873712431559,3318820,5.406308594170858,1661084,5.388618181232025,1672821,5.382083515826879,1678672,5.387523265689253,1701380,5.404730418419409,1736428
5,Eritrea,ERI,7.178920456222695,101628,7.537237789208983,85974,7.664422305596296,79432,7.674748927926177,80222,7.664379591010956,80069,7.662911392305503,161410,7.641502749677715,80383,7.591608965589437,81720,7.58976178943983,82032,7.647200566982775,80764,7.653220335642497,79872
6,Fiji,FJI,9.347734817081605,534717,9.364209754766454,534119,9.355268778823364,535395,9.342969268102399,537015,9.335698808070212,537266,9.30904129131108,1079822,9.318901423062908,537384,9.318794279140826,537738,9.332314073169474,536657,9.318575817409556,538573,9.311316714334836,537672
7,Belize,BLZ,6.201664676132552,605182,6.266720253106531,587975,6.293619820368932,578406,6.310871598046522,574098,6.326474994990528,569858,6.332497152159874,1132300,6.332273080003887,564014,6.3200047261716215,566832,6.317898129922865,574805,6.322007227753957,578336,6.326872320240819,576005
8,Brunei,BRN,18.106220508148223,121008,18.119160299823033,121209,18.128633215692066,121007,18.11950024229694,121429,18.120890861180175,121266,18.14355473604253,241412,18.150847647483584,120310,18.145799964331403,120379,18.123886283882523,120951,18.08918298371319,121778,18.088507673072648,121423
9,New Zealand,NZL,8.231508509572645,376558,8.294779335325009,389355,8.2928157166196,389305,8.281421225185039,391674,8.265926620327695,391897,8.241900774528194,784062,8.203293219008916,391173,8.182990819973657,391383,8.166654071470953,392273,8.148054988490204,390469,8.125131929192984,385209
10,Oman,OMN,4.4934886109983765,1925,4.71261492556437,1612,4.884279452688325,1476,4.981240308769096,1526,5.009068180515117,1567,4.7997548291637635,3140,4.705692585465176,1530,4.523987883454436,1430,4.361225811483494,1418,4.30368455789857,1475,4.284539349181464,1561
11,Pakistan,PAK,4.937583220320612,1154069,4.982380864764196,1057889,4.98834230201174,1028388,4.988888504216723,1018860,4.990762277095292,998626,4.976648058874409,1973730,4.9485320795821215,1005203,4.931247863893531,1033660,4.922701169955791,1045149,4.930197077893198,1004092,4.960655150761729,897596
12,China,CHN,3.277441453847174,276598,3.399500918479064,247100,3.4567427836743403,237791,3.4447836580745905,230285,3.3630635924561636,226921,3.184341721047734,466972,3.137814846864812,239575,3.124386111661411,240799,3.1342791921478788,237000,3.1179689754142226,236344,3.151816365162378,233177
13,Côte d'Ivoire,CIV,9.500241835191465,61209,9.556062550466493,61245,9.551551410190072,61329,9.550702621235422,61432,9.557754247779354,60962,9.641289313993324,116414,9.682723193659527,56612,9.70085178411698,55985,9.671464146267477,56145,9.655463661738235,56493,9.644489008394904,56675
14,Cameroon,CMR,14.676969631618649,2074026,14.676748538367464,2083458,14.67313896480206,2082423,14.67025223268844,2082467,14.664141131254999,2084393,14.633288877286413,4178706,14.616756318812033,2083847,14.608922365043766,2080267,14.602643138732823,2079962,14.598245467257492,2084996,14.592601216757028,2081455
15,Democratic Republic of the Congo,COD,9.441900537219365,252597,9.455189145973673,252662,9.455030554408097,251764,9.454484106010268,251636,9.454534180646604,250478,9.45418525938591,500644,9.454042610625663,250055,9.452950661350826,250321,9.453567837993106,250656,9.453986174473687,251419,9.448427444260695,250945
16,Republic of Congo,COG,16.04798617770106,21281,16.100838275380077,21295,16.12227084099265,21250,16.127328109759144,21273,16.129850213622184,21217,16.129546077204225,42118,16.12668688388486,20989,16.1232462530197,20982,16.120569644459856,21065,16.112985032794892,21209,16.106493532691356,21204
17,Senegal,SEN,6.385916999081389,1368541,6.404860749821703,1397417,6.4143270071641005,1393768,6.415335811371606,1392771,6.417016830937361,1385602,6.410546259899264,2759012,6.407088565992021,1370580,6.4077737520719715,1370600,6.407211728685153,1373123,6.402015424346439,1377082,6.400223363789704,1372190
18,Singapore,SGP,10.044086771502649,8871,10.391676058221272,8180,10.519764993666623,7796,10.470421635771226,7903,10.464453615119197,7970,10.585085540391598,15424,10.63207548153959,7489,10.66378057295193,7385,10.643884943181819,7425,10.540406807357114,7401,10.386490469556945,7358
19,Solomon Islands,SLB,14.210058703683686,561418,14.232212452845626,563707,14.226425351391553,564639,14.212315054096102,565556,14.234911037224242,563084,14.2767591279512,1116834,14.296409079967205,555881,14.314780608434052,553979,14.299876711617117,557322,14.274167929448096,560962,14.276261744365922,559497
20,Haiti,HTI,6.8731911394964085,185678,6.953834937637132,174102,6.966068056424597,171555,6.972228860287426,171692,6.984663128325884,168987,6.982482295492425,330068,6.9747007152829,163037,6.960432426174377,163632,6.952975001863814,166095,6.9415151906102,167546,6.933662420567223,167388
21,Indonesia,IDN,14.722769869829033,33014436,15.100993425020064,31703147,15.22098908563186,31171295,15.242443813559003,31038794,15.240475235612653,30927644,15.224075817455072,61355818,15.209457531869846,30527589,15.212992148918163,30462747,15.20403451546773,30464260,15.192808212847517,30494468,15.169278605041278,30629659
22,India,IND,7.442101886163857,4595432,7.522065353331607,4519898,7.543921915533327,4477080,7.535697183501173,4480179,7.528145959939997,4466864,7.457183981618208,9037160,7.388943624255648,4544589,7.383040750200486,4552884,7.378947255807378,4563477,7.394701135988738,4543482,7.429143825736741,4481032
23,Jamaica,JAM,8.4210480066337,116611,8.282578386852773,121132,8.276059832951278,121383,8.303865135840278,120615,8.41310472506848,117369,8.640582681024808,220978,8.719415896000907,108037,8.744453464936596,107327,8.74335441426811,107721,8.739769289246219,107969,8.733806973063727,107991
24,Japan,JPN,10.609255277585284,11984,10.627624778763607,11885,10.649231070748513,11808,10.663643158484748,11783,10.641499636180967,11738,10.6437429567583,23356,10.62956064071859,11603,10.674700846749387,11531,10.6764646065478,11682,10.673168156335255,11867,10.646734827483264,11894
25,Kenya,KEN,7.00282421025338,580194,7.061669793968807,571479,7.083271216594233,567417,7.0810145657656784,570651,7.078991662802803,571535,7.077380561919639,1135714,7.07765067275933,564039,7.081775474172542,565406,7.0883731999537165,570402,7.089770084078389,573111,7.082305108884423,571776
26,Puerto Rico,PRI,6.650285388508837,94806,6.556625779399017,98343,6.549197804230501,98725,6.630764369227579,96607,6.666846059982488,95506,6.706159729690056,189470,6.697165635858698,94898,6.683107610042345,95317,6.703312407160616,94922,6.736357574799548,92915,6.757532742498323,90913
27,Saint Lucia,LCA,12.681313068504831,1759,12.678301732375425,1766,12.706420135931289,1761,12.720494895595781,1754,12.72546393682259,1753,12.722743353344768,3498,12.711041771311711,1742,12.688957522347174,1734,12.685830375071715,1743,12.67918199836462,1758,12.670163924186179,1751
28,Somalia,SOM,5.592226575290909,39033,5.655488366122466,37949,5.677799814046224,37500,5.686795335957351,37487,5.684567088076621,37399,5.67034766875414,74448,5.655963767832139,37215,5.666663616359297,37171,5.7043725947953385,37159,5.734364591621242,36920,5.7509281399219985,36662
29,Myanmar,MMR,8.264176170924406,6371430,8.691624791230243,6003455,8.776439559231754,5905250,8.730491812907692,5937575,8.75716099107071,5881858,8.80638614986473,11450230,8.792906602036885,5705995,8.758212461210606,5734372,8.729757797232063,5723033,8.694030509879653,5724490,8.595620039466091,5811585
