,Country,Country_Code,0-5,5-10,10-15,15-20,20-65
0,Angola,AGO,0.05760959540501732,0.41290311681729874,0.27749978883351634,0.13681560942647183,0.11517188951769575
1,Anguilla,AIA,0.75,0.25,0.0,0.0,0.0
2,United Arab Emirates,ARE,0.619988741002855,0.38001125899714505,0.0,0.0,0.0
3,Bahrain,BHR,0.47384615384615386,0.46153846153846156,0.06461538461538462,0.0,0.0
4,Bahamas,BHS,0.3240283347601351,0.5969513450668743,0.07902032017299061,0.0,0.0
5,Eritrea,ERI,0.09533007011509459,0.6398200820214314,0.264849847863474,0.0,0.0
6,Fiji,FJI,0.12101627565813032,0.4093499362758121,0.35390026683300413,0.11573352123305342,0.0
7,Belize,BLZ,0.31881054334380055,0.48193548387096774,0.19925397278523171,0.0,0.0
8,Brunei,BRN,0.00019073366117409006,0.0051912726910861035,0.10716743927620721,0.645948568253626,0.24150198611790658
9,New Zealand,NZL,0.029774568585734854,0.7415543807620398,0.22867105065222532,0.0,0.0
10,Oman,OMN,0.3744075829383886,0.4900473933649289,0.13554502369668248,0.0,0.0
11,Pakistan,PAK,0.42947937568740713,0.5705206243125929,0.0,0.0,0.0
12,China,CHN,0.6465947471895952,0.3534052528104048,0.0,0.0,0.0
13,Côte d'Ivoire,CIV,0.09681471343669736,0.3529499990625996,0.4220176606235587,0.1282176268771443,0.0
14,Cameroon,CMR,0.010169559700053909,0.17519092450676507,0.37173390208046275,0.24769784458507244,0.19520776912764584
15,Democratic Republic of the Congo,COD,0.12725913101435846,0.44789215506976027,0.2855923627452176,0.1392563511706637,0.0
16,Republic of Congo,COG,0.0013209416426852856,0.06524508185120535,0.3616549511723357,0.36123036278718684,0.21054866254658677
17,Senegal,SEN,0.1958192504089071,0.8041807495910929,0.0,0.0,0.0
18,Singapore,SGP,0.07412523020257827,0.2676488643339472,0.4071516267648864,0.2510742786985881,0.0
19,Solomon Islands,SLB,0.022983008367906097,0.14572280245142202,0.3399716744339521,0.32790920988725386,0.1634133048594659
20,Haiti,HTI,0.16457531032534256,0.7150780343092996,0.1203466553653578,0.0,0.0
21,Indonesia,IDN,0.03284864781629002,0.1275321625177181,0.2754275458336328,0.31530733350996937,0.2488843103223897
22,India,IND,0.1499373313583216,0.6030340350120125,0.18641290513397998,0.060615728495685924,0.0
23,Jamaica,JAM,0.14522804573208212,0.37893906486907347,0.33871860017211,0.1371142892267344,0.0
24,Japan,JPN,0.026914394860218786,0.30508768883486714,0.5638131620072929,0.10418475429762111,0.0
25,Kenya,KEN,0.2071533109096978,0.5744895077192815,0.2183571813710207,0.0,0.0
26,Puerto Rico,PRI,0.2153793931164911,0.5445949058639543,0.2400257010195546,0.0,0.0
27,Saint Lucia,LCA,0.0017271157167530224,0.13989637305699482,0.6424870466321243,0.2158894645941278,0.0
28,Somalia,SOM,0.305977229601518,0.5399114484503479,0.1541113219481341,0.0,0.0
29,Myanmar,MMR,0.15497323660196594,0.25681818988370486,0.41356542404031804,0.1746431494740112,0.0
30,Martinique,MTQ,0.02867764206054169,0.28803167093129917,0.5118041809491624,0.17148650605899676,0.0
31,Mauritius,MUS,0.02414387780241439,0.3683173195368317,0.4764720374476472,0.13106676521310667,0.0
32,Malaysia,MYS,0.011592586497289732,0.12327531758175284,0.47786842893404025,0.33447552307582823,0.05278814391108897
33,Mayotte,MYT,0.0038535645472061657,0.18428296173960915,0.6658409028351225,0.1460225708780622,0.0
34,Nigeria,NGA,0.07062386878641824,0.48155511114308325,0.3130782533630674,0.13474276670743113,0.0
35,Nicaragua,NIC,0.03988595692747099,0.32712561576042853,0.4722634030361689,0.16072502427593158,0.0
36,São Tomé and Príncipe,STP,0.0,0.017857142857142856,0.1765873015873016,0.42063492063492064,0.38492063492063494
37,Suriname,SUR,0.067059235585132,0.18473943055616363,0.3060344701778965,0.2639828962538126,0.17818396742699533
38,French Polynesia,PYF,0.024493243243243243,0.3285472972972973,0.5320945945945946,0.11486486486486487,0.0
39,Qatar,QAT,0.3032051282051282,0.6967948717948718,0.0,0.0,0.0
40,Saudi Arabia,SAU,0.4457801766437684,0.47446726482545915,0.07975255853077247,0.0,0.0
41,Tuvalu,TUV,0.0,0.6555555555555556,0.34444444444444444,0.0,0.0
42,Taiwan,TWN,0.19858156028368795,0.5370728562217923,0.26434558349451964,0.0,0.0
43,Tanzania,TZA,0.042853845877088834,0.2577127708585073,0.48533790347420214,0.21409547979020174,0.0
44,United States,USA,0.10843208151924465,0.5325867091463897,0.3589812093343656,0.0,0.0
45,Saint Vincent and the Grenadines,VCT,0.0,0.3009118541033435,0.5227963525835866,0.06990881458966565,0.10638297872340426
46,Venezuela,VEN,0.02708810286570261,0.08214095748844268,0.14965857656571405,0.27090642364475126,0.4702059394353894
47,Yemen,YEM,0.22167325428194992,0.77832674571805,0.0,0.0,0.0
48,Aruba,ABW,0.10303030303030303,0.47878787878787876,0.36363636363636365,0.05454545454545454,0.0
49,Costa Rica,CRI,0.016834494020584408,0.13122365162302121,0.3448858592838159,0.29271057351148655,0.21434542156109201
50,Cuba,CUB,0.1361273853221953,0.4966029304853267,0.36726968419247796,0.0,0.0
51,Curaçao,CUW,0.0614406779661017,0.5,0.4110169491525424,0.02754237288135593,0.0
52,American Samoa,ASM,0.008670520231213872,0.3265895953757225,0.5982658959537572,0.011560693641618497,0.05491329479768786
53,French Southern Territories,ATF,0.0009149130832570906,0.07763691020781598,0.7736243628283884,0.1478238138805385,0.0
54,Panama,PAN,0.015677485325126448,0.10522690785810988,0.2402544267489348,0.25884695909717614,0.3799942209706527
55,Antigua and Barbuda,ATG,0.1136210384356035,0.6804899977523039,0.2058889638120926,0.0,0.0
56,Australia,AUS,0.08951862763036646,0.43789269036248196,0.3840277590627581,0.08856092294439347,0.0
57,Benin,BEN,0.5184009048199061,0.481599095180094,0.0,0.0,0.0
58,"Bonaire, Sint Eustatius and Saba",BES,0.013705583756345178,0.3416243654822335,0.6446700507614214,0.0,0.0
59,Bangladesh,BGD,0.020450797254124818,0.24944176304152166,0.5583188544417271,0.1717885852626264,0.0
60,Egypt,EGY,0.26262626262626265,0.5318181818181819,0.20555555555555555,0.0,0.0
61,Micronesia,FSM,0.01160509791458911,0.08495063176005173,0.38350519982904674,0.3726891170701237,0.14724995342618874
62,Gabon,GAB,0.04526003778479121,0.3886859502545949,0.2641930150234304,0.12194451832617213,0.17991647861101134
63,Ghana,GHA,0.38511670322240826,0.4203910285134785,0.06699527526866504,0.03074613020133173,0.09675086279411649
64,Mozambique,MOZ,0.045300767848895494,0.5224112710517413,0.4322879610993631,0.0,0.0
65,Bermuda,BMU,0.0038910505836575876,0.16342412451361868,0.8326848249027238,0.0,0.0
66,Brazil,BRA,0.04449829817929064,0.2133362189003346,0.3614118917200382,0.26431047667017316,0.11644311453016337
67,Barbados,BRB,0.0,0.29914529914529914,0.7008547008547008,0.0,0.0
68,Guyana,GUY,0.023743417903303015,0.07952277497514453,0.17646279044077035,0.3987627499355599,0.3215082667452222
69,Mauritania,MRT,0.33386837881219905,0.666131621187801,0.0,0.0,0.0
70,Cook Islands,COK,0.0,0.4782608695652174,0.5217391304347826,0.0,0.0
71,Colombia,COL,0.060469841233349406,0.1796536718784238,0.30145260098123666,0.21906622305784038,0.23935766284914978
72,Comoros,COM,0.0,0.06134371957156767,0.44206426484907496,0.4342745861733204,0.062317429406037
73,Cayman Islands,CYM,0.017039208501282523,0.41665648792801596,0.5663043035707015,0.0,0.0
74,Djibouti,DJI,0.06739024785355581,0.416167179653329,0.5164425724931152,0.0,0.0
75,Dominica,DMA,0.0,0.7857142857142857,0.21428571428571427,0.0,0.0
76,Dominican Republic,DOM,0.0631648969425369,0.4215127765246052,0.3719471633564573,0.14337516317640056,0.0
77,Ecuador,ECU,0.045349237191841286,0.21101531030284543,0.3927555838138229,0.23859683177285634,0.11228303691863402
